"","uniqid","at_sexviol","f_gender","age","politics_n","f_urban","f_occup","region","complete"
"1",16184371,2,"Woman",42,5,"Rural area or village","Employed position, at desk","Western",TRUE
"2",16178922,5,"Man",44,8,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"3",16178924,0,"Woman",61,4,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4",16178928,0,"Man",18,3,"Small/middle town","Student","Western",TRUE
"5",16178932,0,"Woman",65,1,"Large town","Retired, unable to work","Western",TRUE
"6",16178929,2,"Woman",55,5,"Large town","Owner of a shop, craftsmen, etc.","Western",TRUE
"7",16178933,1,"Man",24,4,"Large town","Student","Western",TRUE
"8",16178937,5,"Woman",70,10,"Large town","Retired, unable to work","Western",TRUE
"9",16178939,0,"Man",21,6,"Small/middle town","Student","Western",TRUE
"10",16178938,0,"Man",72,4,"Large town","Retired, unable to work","Western",TRUE
"11",16178919,0,"Man",20,1,"Large town","Student","Western",TRUE
"12",16191020,0,"Man",44,5,"Small/middle town","Middle management, etc.","Western",TRUE
"13",16193638,0,"Man",27,8,"Rural area or village","Employed position, at desk","Western",TRUE
"14",16178227,0,"Man",29,7,"Rural area or village","Skilled manual worker","Western",TRUE
"15",16190615,2,"Man",56,5,"Rural area or village","Retired, unable to work","Western",TRUE
"16",16178230,0,"Man",68,4,"Rural area or village","Retired, unable to work","Western",TRUE
"17",16190764,0,"Woman",66,3,"Rural area or village","Retired, unable to work","Western",TRUE
"18",16190390,3,"Man",52,5,"Large town","General management, etc.","Western",TRUE
"19",16178231,0,"Woman",62,4,"Rural area or village","Employed position, at desk","Western",TRUE
"20",16178233,0,"Man",71,7,"Rural area or village","Retired, unable to work","Western",TRUE
"21",16180880,0,"Woman",71,3,"Small/middle town","Retired, unable to work","Western",TRUE
"22",16179665,2,"Man",67,5,"Small/middle town","Retired, unable to work","Western",TRUE
"23",16177088,0,"Woman",60,4,"Large town","Retired, unable to work","Western",TRUE
"24",16192064,1,"Woman",69,1,"Rural area or village","Retired, unable to work","Western",TRUE
"25",16177130,0,"Man",24,6,"Large town","Middle management, etc.","Western",TRUE
"26",16187932,0,"Woman",59,6,"Small/middle town","Employed position, at desk","Western",TRUE
"27",16193283,0,"Man",41,4,"Rural area or village","Employed position, travelling","Western",TRUE
"28",16180894,0,"Man",59,4,"Small/middle town","Retired, unable to work","Western",TRUE
"29",16193272,0,"Man",86,7,"Rural area or village","Retired, unable to work","Western",TRUE
"30",16177992,1,"Woman",73,2,"Rural area or village","Retired, unable to work","Western",TRUE
"31",16185714,0,"Man",57,8,"Rural area or village","Farmer","Western",TRUE
"32",16179668,2,"Woman",75,7,"Small/middle town","Retired, unable to work","Western",TRUE
"33",16177084,0,"Woman",36,5,"Large town","Employed position, travelling","Western",TRUE
"34",16177125,2,"Man",75,5,"Rural area or village","Retired, unable to work","Western",TRUE
"35",16191671,3,"Man",55,8,"Rural area or village","Middle management, etc.","Western",TRUE
"36",16177026,0,"Woman",55,3,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"37",16187928,1,"Man",63,7,"Rural area or village","Retired, unable to work","Western",TRUE
"38",16180885,0,"Man",90,6,"Small/middle town","Retired, unable to work","Western",TRUE
"39",16177985,0,"Woman",49,2,"Rural area or village","Retired, unable to work","Western",TRUE
"40",16179676,2,"Woman",75,4,"Small/middle town","Retired, unable to work","Western",TRUE
"41",16192864,0,"Man",64,5,"Rural area or village","Retired, unable to work","Western",TRUE
"42",16180887,0,"Woman",74,5,"Small/middle town","Retired, unable to work","Western",TRUE
"43",16192764,0,"Man",60,1,"Rural area or village","Owner of a shop, craftsmen, etc.","Western",TRUE
"44",16177131,0,"Woman",34,5,"Rural area or village","Employed position, at desk","Western",TRUE
"45",16178003,0,"Woman",56,4,"Rural area or village","Employed position, service job","Western",TRUE
"46",16177085,2,"Woman",73,4,"Large town","Retired, unable to work","Western",TRUE
"47",16177035,0,"Woman",29,7,"Large town","Employed position, service job","Western",TRUE
"48",16177122,0,"Man",19,7,"Small/middle town","Student","Western",TRUE
"49",16178002,0,"Woman",38,5,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"50",16186088,0,"Woman",52,5,"Rural area or village","General management, etc.","Western",TRUE
"51",16177023,0,"Man",36,7,"Large town","General management, etc.","Western",TRUE
"52",16187916,0,"Woman",36,5,"Rural area or village","Employed position, service job","Western",TRUE
"53",16185711,0,"Man",77,5,"Rural area or village","Retired, unable to work","Western",TRUE
"54",16191136,9,"Woman",64,1,"Rural area or village","Retired, unable to work","Western",TRUE
"55",16177947,0,"Man",34,5,"Rural area or village","Skilled manual worker","Western",TRUE
"56",16177089,0,"Man",28,1,"Large town","Unemployed, temporarily not working","Western",TRUE
"57",16191860,0,"Woman",23,1,"Rural area or village","Student","Western",TRUE
"58",16186086,0,"Woman",55,5,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"59",16179731,3,"Woman",52,5,"Large town","Unemployed, temporarily not working","Western",TRUE
"60",16177133,1,"Man",34,3,"Large town","Skilled manual worker","Western",TRUE
"61",16177039,3,"Woman",33,5,"Large town","Unemployed, temporarily not working","Western",TRUE
"62",16192401,0,"Woman",35,5,"Rural area or village","Employed position, service job","Western",TRUE
"63",16187920,0,"Man",62,7,"Rural area or village","Retired, unable to work","Western",TRUE
"64",16179674,2,"Woman",58,7,"Small/middle town","Employed position, at desk","Western",TRUE
"65",16190296,1,"Man",24,5,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"66",16177092,1,"Man",19,10,"Large town","Owner of a shop, craftsmen, etc.","Western",TRUE
"67",16177958,0,"Woman",61,5,"Rural area or village","Employed position, at desk","Western",TRUE
